IP Address:216.58.212.3
21 FTP Closed
22 SSH Closed
23 Telnet Closed
25 SMTP Closed
53 DNS Closed
67 DHCP Closed
139 NETBIOS Closed
80 HTTP Open
443 HTTPS Open
8080 Unknown Closed
(TCP)Scan Time:16:43:56
IP Address:213.14.255.87
21 FTP Closed
22 SSH Closed
23 Telnet Closed
25 SMTP Closed
53 DNS Closed
67 DHCP Closed
139 NETBIOS Closed
80 HTTP Open
443 HTTPS Open
8080 Unknown Closed
(TCP)Scan Time:16:44:13
IP Address:31.13.92.36
21 FTP Closed
22 SSH Closed
23 Telnet Closed
25 SMTP Closed
53 DNS Closed
67 DHCP Closed
139 NETBIOS Closed
80 HTTP Open
443 HTTPS Open
8080 Unknown Closed
(TCP)Scan Time:16:44:32
IP Address:104.244.42.193
21 FTP Closed
22 SSH Closed
23 Telnet Closed
25 SMTP Closed
53 DNS Closed
67 DHCP Closed
139 NETBIOS Closed
80 HTTP Open
443 HTTPS Open
8080 Unknown Closed
(TCP)Scan Time:16:44:51
IP Address:216.58.208.110
21 FTP Closed
22 SSH Closed
23 Telnet Closed
25 SMTP Closed
53 DNS Closed
67 DHCP Closed
139 NETBIOS Closed
80 HTTP Open
443 HTTPS Open
8080 Unknown Closed
(TCP)Scan Time:16:45:10
IP Address:46.228.47.114
21 FTP Closed
22 SSH Closed
23 Telnet Closed
25 SMTP Closed
53 DNS Closed
67 DHCP Closed
139 NETBIOS Closed
80 HTTP Open
443 HTTPS Open
8080 Unknown Closed
(TCP)Scan Time:16:45:29
IP Address:54.239.17.6
21 FTP Closed
22 SSH Closed
23 Telnet Closed
25 SMTP Closed
53 DNS Closed
67 DHCP Closed
139 NETBIOS Closed
80 HTTP Open
443 HTTPS Open
8080 Unknown Closed
(TCP)Scan Time:16:45:35
IP Address:95.213.11.149
21 FTP Closed
22 SSH Closed
23 Telnet Closed
25 SMTP Closed
53 DNS Closed
67 DHCP Closed
139 NETBIOS Closed
80 HTTP Open
443 HTTPS Open
8080 Unknown Closed
(TCP)Scan Time:16:45:54
IP Address:37.230.108.29
21 FTP Open
22 SSH Closed
23 Telnet Closed
25 SMTP Closed
53 DNS Open
67 DHCP Closed
139 NETBIOS Closed
80 HTTP Open
443 HTTPS Open
8080 Unknown Closed
(TCP)Scan Time:16:46:11
IP Address:91.225.248.129
21 FTP Closed
22 SSH Closed
23 Telnet Closed
25 SMTP Closed
53 DNS Closed
67 DHCP Closed
139 NETBIOS Closed
80 HTTP Open
443 HTTPS Open
8080 Unknown Closed
(TCP)Scan Time:16:46:30
